t_rel_s,label,rms_m
0.000,print,0.001574
0.025,print,0.001704
0.063,print,0.001699
0.092,print,0.001501
0.129,print,0.001408
0.159,print,0.001338
0.193,print,0.001198
0.226,print,0.001113
0.264,print,0.000852
0.290,print,0.000836
0.326,print,0.000786
0.359,print,0.000850
0.396,print,0.000892
0.425,print,0.000782
0.463,print,0.001552
0.498,print,0.000850
0.531,print,0.000669
0.574,print,0.000554
0.608,print,0.000533
0.656,print,0.000720
0.690,print,0.001094
0.734,print,0.001141
0.772,print,0.001100
0.822,print,0.000905
0.855,print,0.000773
0.895,print,0.000681
0.936,print,0.000611
0.972,print,0.000602
1.018,print,0.000697
1.057,print,0.000668
1.092,print,0.000669
1.140,print,0.000607
1.173,print,0.000579
1.223,print,0.000670
1.255,print,0.000618
1.291,print,0.000667
1.339,print,0.000804
1.372,print,0.000735
1.420,print,0.000713
1.453,print,0.000770
1.494,print,0.000673
1.536,print,0.000826
1.575,print,0.000875
1.619,print,0.000838
1.656,print,0.000775
1.699,print,0.000902
1.739,print,0.002004
1.776,print,0.023488
1.819,print,0.048062
1.857,print,0.081211
1.893,print,0.077036
1.940,print,0.086094
1.971,print,0.090645
2.019,print,0.087066
2.057,print,0.006609
2.093,print,0.001253
2.141,print,0.000614
2.254,print,0.000632
2.301,print,0.009303
2.339,print,0.008804
2.372,print,0.119103
2.422,print,0.118635
2.454,print,0.120014
2.503,print,0.148128
2.540,print,0.133473
2.581,print,0.148578
2.624,print,0.129489
2.659,print,0.129177
2.701,print,0.142510
2.738,print,0.134173
13.473,bonafide,0.006037
13.508,bonafide,0.008467
13.541,bonafide,0.009469
13.574,bonafide,0.009543
13.610,bonafide,0.009468
13.642,bonafide,0.009581
13.678,bonafide,0.009498
13.711,bonafide,0.009571
13.745,bonafide,0.009668
13.780,bonafide,0.009744
13.812,bonafide,0.009704
13.845,bonafide,0.009687
25.474,screen,0.099335
25.508,screen,0.002388
25.541,screen,0.003314
25.575,screen,0.002620
25.608,screen,0.002633
25.642,screen,0.002593
25.790,screen,0.001809
25.822,screen,0.001721
25.850,screen,0.001580
25.889,screen,0.001592
25.922,screen,0.001409
25.955,screen,0.001349
25.990,screen,0.001313
26.024,screen,0.001256
26.057,screen,0.001136
26.089,screen,0.001060
26.120,screen,0.000906
26.155,screen,0.000833
26.187,screen,0.000959
26.221,screen,0.000768
26.258,screen,0.000783
26.291,screen,0.000805
26.320,screen,0.000886
26.356,screen,0.000887
26.389,screen,0.000856
26.422,screen,0.000910
26.454,screen,0.000970
27.194,screen,0.000816
27.226,screen,0.000812
